study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB20380	SAMEA103972808	ERX1982335	ERR1924608	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924608/ERR1924608.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924608/ERR1924608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924608/ERR1924608_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924608/Sample23_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924608/Sample23_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/008/ERR1924608
PRJEB20380	SAMEA103972808	ERX1982336	ERR1924609	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924609/ERR1924609.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924609/ERR1924609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924609/ERR1924609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924609/Sample23_3_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924609/Sample23_3_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/009/ERR1924609
PRJEB20380	SAMEA103972808	ERX1982338	ERR1924611	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924611/ERR1924611.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924611/ERR1924611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924611/ERR1924611_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924611/Sample23_5_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924611/Sample23_5_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/001/ERR1924611
PRJEB20380	SAMEA103972809	ERX1982339	ERR1924612	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924612/ERR1924612.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924612/ERR1924612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924612/ERR1924612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924612/Sample24_1_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924612/Sample24_1_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/002/ERR1924612
PRJEB20380	SAMEA103972809	ERX1982340	ERR1924613	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924613/ERR1924613.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924613/ERR1924613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924613/ERR1924613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924613/Sample24_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924613/Sample24_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/003/ERR1924613
PRJEB20380	SAMEA103972810	ERX1982342	ERR1924615	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924615/ERR1924615.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924615/ERR1924615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924615/ERR1924615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924615/Sample6_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924615/Sample6_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/005/ERR1924615
PRJEB20380	SAMEA103972811	ERX1982344	ERR1924617	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924617/ERR1924617.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924617/ERR1924617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924617/ERR1924617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924617/Sample9_1_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924617/Sample9_1_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/007/ERR1924617
PRJEB20380	SAMEA103972811	ERX1982345	ERR1924618	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924618/ERR1924618.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924618/ERR1924618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924618/ERR1924618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924618/Sample9_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924618/Sample9_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/008/ERR1924618
PRJEB20380	SAMEA103972811	ERX1982346	ERR1924619	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924619/ERR1924619.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924619/ERR1924619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924619/ERR1924619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924619/Sample9_3_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924619/Sample9_3_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/009/ERR1924619
PRJEB20380	SAMEA103972811	ERX1982348	ERR1924621	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924621/ERR1924621.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924621/ERR1924621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924621/ERR1924621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924621/Sample9_5_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924621/Sample9_5_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/001/ERR1924621
PRJEB20380	SAMEA103972802	ERX1982349	ERR1924622	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924622/ERR1924622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924622/Sample15_1_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/002/ERR1924622
PRJEB20380	SAMEA103972802	ERX1982350	ERR1924623	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924623/ERR1924623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924623/Sample15_2_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/003/ERR1924623
PRJEB20380	SAMEA103972802	ERX1982351	ERR1924624	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924624/ERR1924624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924624/Sample15_3_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/004/ERR1924624
PRJEB20380	SAMEA103972802	ERX1982352	ERR1924625	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924625/ERR1924625.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924625/Sample15_4_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/005/ERR1924625
PRJEB20380	SAMEA103972803	ERX1982353	ERR1924626	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924626/ERR1924626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924626/Sample16_1_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/006/ERR1924626
PRJEB20380	SAMEA103972803	ERX1982354	ERR1924627	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924627/ERR1924627.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924627/Sample16_2_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/007/ERR1924627
PRJEB20380	SAMEA103972803	ERX1982355	ERR1924628	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924628/ERR1924628.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924628/Sample16_3_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/008/ERR1924628
PRJEB20380	SAMEA103972804	ERX1982356	ERR1924629	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924629/ERR1924629.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924629/Sample16_4_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/009/ERR1924629
PRJEB20380	SAMEA103972804	ERX1982357	ERR1924630	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924630/ERR1924630.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924630/Sample18_1_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/000/ERR1924630
PRJEB20380	SAMEA103972804	ERX1982358	ERR1924631	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924631/ERR1924631.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924631/Sample18_2_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/001/ERR1924631
PRJEB20380	SAMEA103972804	ERX1982359	ERR1924632	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924632/ERR1924632.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924632/Sample18_3_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/002/ERR1924632
PRJEB20380	SAMEA103972804	ERX1982360	ERR1924633	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924633/ERR1924633.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924633/Sample18_4_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/003/ERR1924633
PRJEB20380	SAMEA103972805	ERX1982361	ERR1924634	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924634/ERR1924634.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924634/Sample18_5_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/004/ERR1924634
PRJEB20380	SAMEA103972805	ERX1982362	ERR1924635	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924635/ERR1924635.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924635/Sample18_6_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/005/ERR1924635
PRJEB20380	SAMEA103972805	ERX1982363	ERR1924636	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924636/ERR1924636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924636/Sample19_1_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/006/ERR1924636
PRJEB20380	SAMEA103972805	ERX1982364	ERR1924637	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924637/ERR1924637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924637/Sample19_2_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/007/ERR1924637
PRJEB20380	SAMEA103972806	ERX1982365	ERR1924638	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924638/ERR1924638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924638/Sample19_3_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/008/ERR1924638
PRJEB20380	SAMEA103972806	ERX1982366	ERR1924639	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924639/ERR1924639.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924639/Sample19_4_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/009/ERR1924639
PRJEB20380	SAMEA103972806	ERX1982367	ERR1924640	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924640/ERR1924640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924640/Sample20_1_orphan.Q20.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/000/ERR1924640
